,link,source,lean
52,https://apnews.com/article/business-mike-dewine-health-coronavirus-pandemic-environment-daf5ca2fe9dd12cba9e48b2ad762cc0b,AP,Centrist
53,https://apnews.com/article/un-climate-change-environment-crisis-df5f89784ec92aaf8a855f88bdd753c9,AP,Centrist
54,https://apnews.com/article/environment-montana-court-decisions-courts-billings-72d6fe62e1a8b43a49dcd9e143def2f4,AP,Centrist
55,https://apnews.com/article/roush-fenway-first-carbon-neutral-nascar-b9cb47c0c1e037ec0c91d19c63b6d281,AP,Centrist
56,https://apnews.com/article/environment-delaware-wastewater-dover-87345b57d734b0fb07dad0ed63070130,AP,Centrist
57,https://apnews.com/article/wildlife-deserts-fish-land-management-reno-4eb640373c3e9ae7c03f49719a81914f,AP,Centrist
58,https://apnews.com/article/legislature-hydraulic-fracturing-legislation-environment-oil-and-gas-industry-de0729eb3dfcea56dcdc11a83322e4d3,AP,Centrist
59,https://apnews.com/article/environment-west-virginia-1e1d2e7b4550833b9cd6ad33f2062997,AP,Centrist
60,https://apnews.com/article/new-mexico-south-carolina-30d3e3dd6a7633c833e6b61830983687,AP,Centrist
61,https://apnews.com/article/environment-climate-nevada-las-vegas-6da7e15044a13f184ef2ce1d4c5874aa,AP,Centrist
62,https://apnews.com/article/caribbean-paris-france-environment-puerto-rico-3a59aff30fed29c9083b48b5e762c163,AP,Centrist
63,https://apnews.com/article/joe-biden-biden-cabinet-cabinets-north-carolina-environment-1816c59453ddf89bb20652b11b9e26b7,AP,Centrist
64,https://apnews.com/article/national-parks-wildlife-animals-parks-environment-3b7fb0c439d0d534ba044f84da1c7432,AP,Centrist
65,https://apnews.com/article/environment-indiana-jasper-425bd2fabf5f6cc2fdde9b70e6ab4c38,AP,Centrist
66,https://apnews.com/article/pandemics-public-health-columbia-coronavirus-pandemic-environment-915a4584d7c16eaed2fb67e7c45ab0cf,AP,Centrist
67,https://apnews.com/article/new-hampshire-environment-smog-pollution-06cc4073e1319412a2452802a0a59104,AP,Centrist
68,https://apnews.com/article/environment-lincoln-accidents-wastewater-nebraska-686f6d6dd522e986d5285344d0f1d5f8,AP,Centrist
69,https://apnews.com/article/alaska-environment-wildlife-parks-national-parks-1b41da299c5e0dabf53ce1baf70f2b92,AP,Centrist
70,https://apnews.com/article/environment-indiana-wetlands-bills-876d6fe8cd802b1727440bd08611ccd6,AP,Centrist
71,https://apnews.com/article/joe-biden-climate-climate-change-gulf-of-mexico-oceans-07db2cbb5b23ea25a5d3f2040feb9f5a,AP,Centrist
72,https://apnews.com/article/voting-legislation-voting-rights-environment-voter-registration-84972103367099af4a1adff4a44d3c86,AP,Centrist
73,https://apnews.com/article/joe-biden-environment-wolves-wisconsin-wildlife-f92da0d99fa64d3638322e40310aef56,AP,Centrist
74,https://apnews.com/article/environment-clean-air-act-hazardous-waste-honolulu-hawaii-924e140c92029d92d8a4e7932ad3f61e,AP,Centrist
75,https://apnews.com/article/wisconsin-wolves-hunting-0133caf668de448fdd1f7976584bdff4,AP,Centrist
76,https://apnews.com/article/clean-air-act-puget-sound-mount-vernon-environment-seattle-3d3b8f9d4ca8dd184539516e40355bc7,AP,Centrist
77,https://apnews.com/article/environmental-education-earth-day-coronavirus-pandemic-environment-west-virginia-80b07241b6be516b46d456c9dd9bea63,AP,Centrist
78,https://apnews.com/article/environment-minnesota-pollution-d7009569b66a8f3d80addf557face928,AP,Centrist
79,https://apnews.com/article/north-america-minnesota-environment-courts-water-pollution-0b9abe274f291388c5ff5a31e5fc9c3c,AP,Centrist
80,https://apnews.com/article/business-mike-dewine-health-coronavirus-pandemic-environment-675fcf80d530b2d236a9124a5a5c573d,AP,Centrist
81,https://apnews.com/article/wyoming-environment-oil-spills-wastewater-texas-cac003d2bcd028997f9cbf7a353ee2d0,AP,Centrist
82,https://apnews.com/article/joe-biden-climate-climate-change-john-bel-edwards-gulf-of-mexico-9fd12aa0235073580c846582f7f43117,AP,Centrist
83,https://apnews.com/article/wildfires-los-alamos-environment-fires-new-mexico-df654c925182c1ef289e2c0f80f7aa56,AP,Centrist
